Lastnofitied,FirstNotifiedAt,SiteID,InstanceID,LTimeCluster,FTimeCluster,15minutelastcluster,15minutefirstcluster
1518666502,1518666502,3658193,23538,1518663600,1518663600,1518666300,1518666300
1518668080,1518668080,3658144,23487,1518667200,1518667200,1518667200,1518667200
1518668360,1518668360,3658183,23481,1518667200,1518667200,1518668100,1518668100
1518669026,1518143508,3903620,23466,1518667200,1518141600,1518669000,1518143400
1518669481,1517028225,3682601,23463,1518667200,1517025600,1518669000,1517027400
1518672105,1518672105,3658219,23460,1518670800,1518670800,1518671700,1518671700
1518672560,1518143508,3903620,23466,1518670800,1518141600,1518671700,1518143400
1518674241,1518674241,3658166,23485,1518670800,1518670800,1518673500,1518673500
1518674765,1518674765,3607272,23649,1518674400,1518674400,1518674400,1518674400
1518675220,1518178072,3682582,23467,1518674400,1518177600,1518674400,1518177600
1518676516,1518178072,3682582,23467,1518674400,1518177600,1518676200,1518177600
1518676586,1518676586,3658184,23556,1518674400,1518674400,1518676200,1518676200
1518677671,1518676586,3658184,23556,1518674400,1518674400,1518677100,1518676200
1518677706,1518178072,3682582,23467,1518674400,1518177600,1518677100,1518177600
1518678931,1518178072,3682582,23467,1518678000,1518177600,1518678900,1518177600
1518678931,1518676586,3658184,23556,1518678000,1518674400,1518678900,1518676200
1518680892,1516956775,3687613,23549,1518678000,1516953600,1518680700,1516956300
1518682677,1518178072,3682582,23467,1518681600,1518177600,1518682500,1518177600
1518684537,1518676586,3658184,23556,1518681600,1518674400,1518684300,1518676200
1518685027,1518676586,3658184,23556,1518681600,1518674400,1518684300,1518676200
1518685657,1518685657,3606407,24040,1518685200,1518685200,1518685200,1518685200
1518685727,1518685727,3606407,23863,1518685200,1518685200,1518685200,1518685200
1518685762,1518685762,3606407,23744,1518685200,1518685200,1518685200,1518685200
1518685762,1518685762,3606407,23739,1518685200,1518685200,1518685200,1518685200
1518686007,1516956775,3687613,23549,1518685200,1516953600,1518685200,1516956300
1518686252,1518686252,3606407,23784,1518685200,1518685200,1518686100,1518686100
1518686917,1518686917,3658183,23481,1518685200,1518685200,1518686100,1518686100
1518688632,1518688632,3841623,23537,1518685200,1518685200,1518687900,1518687900
1518694127,1518607282,3606470,23465,1518692400,1518606000,1518693300,1518606900
1518695597,1516382381,3658226,23477,1518692400,1516381200,1518695100,1516382100
1518695982,1518178072,3682582,23467,1518692400,1518177600,1518695100,1518177600
1518697487,1505851807,3682533,23484,1518696000,1505851200,1518696900,1505851200
1518698927,1518698927,3658125,23617,1518696000,1518696000,1518698700,1518698700
1518698962,1518698962,3658125,23616,1518696000,1518696000,1518698700,1518698700
1518699172,1518698962,3658125,23616,1518696000,1518696000,1518698700,1518698700
1518699417,1518698927,3658125,23617,1518696000,1518696000,1518698700,1518698700
1518702147,1499560971,3682534,23476,1518699600,1499558400,1518701400,1499560200
1518703550,1518607282,3606470,23465,1518703200,1518606000,1518703200,1518606900
1518704985,1518607282,3606470,23465,1518703200,1518606000,1518704100,1518606900
1518705475,1518607282,3606470,23465,1518703200,1518606000,1518705000,1518606900
1518705720,1518705720,3685129,23531,1518703200,1518703200,1518705000,1518705000
1518705720,1518705720,3685129,23527,1518703200,1518703200,1518705000,1518705000
1518705735,1518705735,20004,24219,1518703200,1518703200,1518705000,1518705000
1518705755,1518705755,3607272,23649,1518703200,1518703200,1518705000,1518705000
1518705755,1518705755,3685129,23528,1518703200,1518703200,1518705000,1518705000
1518705763,1518705763,20004,24219,1518703200,1518703200,1518705000,1518705000
1518706455,1518607282,3606470,23465,1518703200,1518606000,1518705900,1518606900
1518707926,1518607282,3606470,23465,1518706800,1518606000,1518707700,1518606900
1518708661,1518708661,3687379,23602,1518706800,1518706800,1518708600,1518708600
1518709851,1516382381,3658226,23477,1518706800,1516381200,1518709500,1516382100
1518710096,1518607282,3606470,23465,1518706800,1518606000,1518709500,1518606900
1518710801,1518607282,3606470,23465,1518710400,1518606000,1518710400,1518606900
1518711291,1518607282,3606470,23465,1518710400,1518606000,1518710400,1518606900
1518713216,1518607282,3606470,23465,1518710400,1518606000,1518713100,1518606900
1518713951,1518607282,3606470,23465,1518710400,1518606000,1518713100,1518606900
1518717311,1518607282,3606470,23465,1518714000,1518606000,1518716700,1518606900
1518718536,1518718536,3855778,23569,1518717600,1518717600,1518718500,1518718500
1518720216,1518607282,3606470,23465,1518717600,1518606000,1518719400,1518606900
1518720951,1518688632,3841623,23537,1518717600,1518685200,1518720300,1518687900
1518721161,1518721161,3687618,23498,1518717600,1518717600,1518720300,1518720300
1518721691,1518607282,3606470,23465,1518721200,1518606000,1518721200,1518606900
1518721831,1516382381,3658226,23477,1518721200,1516381200,1518721200,1516382100
1518721866,1518721866,3687379,24039,1518721200,1518721200,1518721200,1518721200
1518721936,1518721936,3687379,23613,1518721200,1518721200,1518721200,1518721200
1518722252,1518708661,3687379,23602,1518721200,1518706800,1518722100,1518708600
1518722426,1518607282,3606470,23465,1518721200,1518606000,1518722100,1518606900
1518724351,1518607282,3606470,23465,1518721200,1518606000,1518723900,1518606900
1518725087,1518607282,3606470,23465,1518724800,1518606000,1518724800,1518606900
1518726557,1518607282,3606470,23465,1518724800,1518606000,1518725700,1518606900
1518726872,1518674241,3658166,23485,1518724800,1518670800,1518726600,1518673500
1518732861,1518732861,3658184,23556,1518732000,1518732000,1518732000,1518732000
1518734366,1516382381,3658226,23477,1518732000,1516381200,1518733800,1516382100
1518734436,1518734436,3687379,23572,1518732000,1518732000,1518733800,1518733800
1518734506,1500675765,3687379,23634,1518732000,1500674400,1518733800,1500675300
1518734541,1518734541,3687379,23615,1518732000,1518732000,1518733800,1518733800
1518734541,1518734541,3687379,23574,1518732000,1518732000,1518733800,1518733800
1518734541,1518734541,3687379,23610,1518732000,1518732000,1518733800,1518733800
1518734541,1518721936,3687379,23613,1518732000,1518721200,1518733800,1518721200
1518736256,1518736256,3687613,23598,1518735600,1518735600,1518735600,1518735600
1518736256,1518736256,3687613,24018,1518735600,1518735600,1518735600,1518735600
1518736606,1518736256,3687613,24018,1518735600,1518735600,1518736500,1518735600
1518737341,1516956775,3687613,23549,1518735600,1516953600,1518736500,1516956300
1518737446,1518607282,3606470,23465,1518735600,1518606000,1518737400,1518606900
1518737691,1518737691,3843028,23577,1518735600,1518735600,1518737400,1518737400
1518737831,1518736256,3687613,24018,1518735600,1518735600,1518737400,1518735600
1518738041,1518738041,3658232,23554,1518735600,1518735600,1518737400,1518737400
1518738111,1518732861,3658184,23556,1518735600,1518732000,1518737400,1518732000
1518741086,1518668080,3658144,23487,1518739200,1518667200,1518741000,1518667200
1518741121,1518741121,3658173,23611,1518739200,1518739200,1518741000,1518741000
1518741122,1516382381,3658226,23477,1518739200,1516381200,1518741000,1516382100
1518741646,1518732861,3658184,23556,1518739200,1518732000,1518741000,1518732000
1518741751,1518741121,3658173,23611,1518739200,1518739200,1518741000,1518741000
1518742976,1518732861,3658184,23556,1518742800,1518732000,1518742800,1518732000
1518743396,1518743396,3687379,23646,1518742800,1518742800,1518742800,1518742800
1518743466,1518743466,3687379,23614,1518742800,1518742800,1518742800,1518742800
1518745636,1518607282,3606470,23465,1518742800,1518606000,1518745500,1518606900
1518746931,1518178072,3682582,23467,1518746400,1518177600,1518746400,1518177600
1518750326,1518750326,3682592,23541,1518750000,1518750000,1518750000,1518750000
1518750501,1516382381,3658226,23477,1518750000,1516381200,1518750000,1516382100
1518753336,1517028225,3682601,23463,1518750000,1517025600,1518752700,1517027400
1518754632,1518754632,3658207,23644,1518753600,1518753600,1518754500,1518754500
1518754701,1518754701,3658154,23888,1518753600,1518753600,1518754500,1518754500
1518754771,1518732861,3658184,23556,1518753600,1518732000,1518754500,1518732000
1518755121,1518755121,3658235,23992,1518753600,1518753600,1518754500,1518754500
1518755121,1518755121,3658235,23987,1518753600,1518753600,1518754500,1518754500
1518755121,1518755121,3658235,24041,1518753600,1518753600,1518754500,1518754500
1518755121,1518755121,3658235,23943,1518753600,1518753600,1518754500,1518754500
1518755121,1518755121,3658235,23928,1518753600,1518753600,1518754500,1518754500
1518755121,1518755121,3658235,23986,1518753600,1518753600,1518754500,1518754500
1518755261,1518755261,3658235,23993,1518753600,1518753600,1518754500,1518754500
1518755331,1518755331,3658235,23890,1518753600,1518753600,1518754500,1518754500
1518755331,1518755331,3658235,23666,1518753600,1518753600,1518754500,1518754500
1518755471,1518755471,3658235,23667,1518753600,1518753600,1518755400,1518755400
1518755891,1518732861,3658184,23556,1518753600,1518732000,1518755400,1518732000
1518756381,1518756381,3658235,23699,1518753600,1518753600,1518756300,1518756300
1518756801,1518756801,3658235,23669,1518753600,1518753600,1518756300,1518756300
1518756976,1518756976,3658235,23891,1518753600,1518753600,1518756300,1518756300
1518757501,1518757501,3658154,23768,1518757200,1518757200,1518757200,1518757200
1518757501,1518757501,3658154,23747,1518757200,1518757200,1518757200,1518757200
1518758446,1518732861,3658184,23556,1518757200,1518732000,1518758100,1518732000
1518759007,1518759007,3658235,24044,1518757200,1518757200,1518759000,1518759000
1518759216,1518759216,3658235,23746,1518757200,1518757200,1518759000,1518759000
1518759391,1518759391,3658144,23487,1518757200,1518757200,1518759000,1518759000
1518760371,1518732861,3658184,23556,1518757200,1518732000,1518759900,1518732000
1518760371,1518760371,3658167,23482,1518757200,1518757200,1518759900,1518759900
1518760406,1518760406,3684494,23497,1518757200,1518757200,1518759900,1518759900
1518760441,1518760441,3658166,23485,1518757200,1518757200,1518759900,1518759900
1518760546,1518760546,3658235,24043,1518757200,1518757200,1518759900,1518759900
1518760721,1518756381,3658235,23699,1518757200,1518753600,1518759900,1518756300
1518761667,1518761667,3658235,23980,1518760800,1518760800,1518760800,1518760800
1518762542,1518762542,3658235,23741,1518760800,1518760800,1518761700,1518761700
1518762542,1518755331,3658235,23890,1518760800,1518753600,1518761700,1518754500
1518762542,1518759216,3658235,23746,1518760800,1518757200,1518761700,1518759000
1518762682,1518756976,3658235,23891,1518760800,1518753600,1518762600,1518756300
1518762682,1518762682,3658235,24042,1518760800,1518760800,1518762600,1518762600
1518762787,1518756381,3658235,23699,1518760800,1518753600,1518762600,1518756300
1518762892,1508327356,3658205,23871,1518760800,1508324400,1518762600,1508327100
1518766951,1518750326,3682592,23541,1518764400,1518750000,1518766200,1518750000
